name,x,y,obverse_group,reverse_group
A\3664,3.1779459,6.9092903,7,0
A\3665,3.999155,7.3351555,7,18
A\3666,2.5709043,4.299207,14,0
A\3667,1.0138506,4.662792,8,18
A\3668,3.6807098,5.3051796,14,18
A\3669,0.9555399,4.3820734,8,5
A\3670,1.1406783,4.566053,10,10
A\3672,2.8239555,6.932145,7,13
A\3673,3.0153236,4.760903,14,18
A\3674,2.742572,4.0788493,14,5
A\3675,0.8136025,4.094403,8,5
A\3676,2.3364441,4.727943,14,18
A\3677,2.9970248,4.7308784,14,8
A\3678,2.8837004,4.478803,14,18
A\3679,2.889022,6.67643,7,5
A\3680,1.0361317,6.1668186,8,17
A\3681,2.5586562,5.0439525,14,8
A\3682,0.87869537,4.15936,8,5
A\3683,2.5632787,5.9488378,7,8
A\3684,3.593466,6.2537255,7,10
A\3685,2.8183405,4.3182206,14,18
A\3687,4.0433307,6.556631,7,5
A\3688,1.1012799,6.18563,14,5
A\3689,1.1747488,4.0831766,10,5
A\3690,3.645517,6.7829313,14,8
A\3691,3.2862773,5.4790683,7,8
A\3692,3.6105554,7.2326055,7,5
A\3693,3.7177885,7.2557387,7,18
A\3694,2.7525048,4.0062246,14,7
A\3695,4.6941013,6.8514657,7,8
A\3696,2.6775706,5.891406,7,8
A\3697,2.6915233,4.0037904,10,18
A\3698,4.713914,7.0725493,7,5
A\3699,3.5474675,7.0473795,7,7
A\3700,2.1250648,5.9093766,14,17
A\3701,2.806771,5.5729084,14,0
A\3702,2.8872142,4.5827465,14,0
A\3703,4.7561526,7.2983093,7,5
A\3704,4.6557145,7.387192,7,18
A\3705,2.4609962,7.3391995,14,8
A\3706,2.1527789,6.9872007,14,10
A\3707,2.3982134,5.7256746,14,8
A\3708,3.00588,5.0329638,14,5
A\3709,1.4856493,5.312809,8,0
A\3710,2.8633912,6.653085,7,10
A\3711,0.64937574,5.497671,8,7
A\3712,0.988466,4.088707,10,17
A\3713,1.5261137,5.6441116,8,17
A\3714,1.1494004,4.527708,10,0
A\3715,2.3237183,5.6155505,8,19
A\3716,0.98361945,4.600678,8,0
A\3717,1.9208064,4.9073997,14,0
A\3718,0.84657264,4.4501476,8,0
A\3719,0.8590757,4.2426763,8,19
A\3720,3.3549604,5.5112333,14,7
A\3721,2.7887135,6.105421,14,7
A\3722,3.3289783,5.5193567,14,7
A\3723,4.0427732,6.830995,7,7
A\3724,2.1353338,5.952617,7,0
A\3725,3.0031192,4.4919367,14,10
A\3726,1.4082092,4.582298,8,17
A\3727,4.8766,6.4333987,7,19
A\3728,4.8695235,6.5098066,7,8
A\3729,1.0308317,6.219358,8,10
A\3730,4.6874876,7.0570827,7,10
A\3731,0.8186642,4.4383383,8,0
A\3732,1.7276757,6.118349,14,8
A\3733,4.042378,6.9605646,7,0
A\3734,1.0255828,6.1886973,8,19
A\3735,4.0008774,5.485116,7,18
A\3736,2.9186273,5.0918818,14,10
A\3737,2.0389023,5.8815217,14,10
A\3738,1.8389493,5.206227,14,18
A\3739,3.4821348,6.1585317,7,0
A\3740,4.000103,5.6672215,7,17
A\3741,3.766044,6.7829647,7,10
A\3742,2.04174,6.5581293,7,5
A\3743,1.9010572,5.3206635,14,16
A\3744,2.1799536,4.239296,10,10
A\3745,1.8864714,5.5840898,14,0
A\3746,2.7819629,4.004747,14,0
A\3747,4.844375,7.245056,7,8
A\3748,3.6276946,6.704938,14,10
A\3749,2.8734324,6.230545,14,7
A\3750,0.6506164,5.4893193,8,10
A\3751,3.8263597,5.6064095,7,10
A\3752,3.854012,6.7377596,7,10
A\3753,1.8531884,5.2455535,14,0
A\3754,1.164471,6.074694,8,17
A\3755,1.7137692,5.0733314,8,10
A\3756,2.3461292,6.9380264,7,17
A\3757,0.86800003,4.2094693,10,0
A\3758,2.8260205,5.591297,7,10
A\3759,2.9406667,5.2143226,14,17
A\3760,1.3149847,5.057537,8,19
A\3761,1.9866253,5.997243,8,5
A\3762,2.0444076,6.957896,14,17
A\3763,3.0252826,6.539335,7,17
A\3764,1.0439208,6.229307,8,19
A\3766,2.1419168,3.9784837,10,7
A\3769,4.006693,6.864137,7,13
A\3770,1.7091372,5.308745,8,16
A\3771,2.855756,4.578852,14,17
A\3772,1.5036029,5.602422,8,10
A\3773,2.2117724,5.725055,14,5
A\3774,3.1826944,5.9620028,14,7
A\3775,3.0959058,5.943734,7,8
A\3776,2.3065677,5.231886,14,13
A\3777,0.9299255,4.5509267,8,19
A\3778,1.7116024,4.0768733,10,13
A\3779,2.4237027,5.694517,7,10
A\3780,3.484118,7.158989,7,18
A\3781,3.3919766,5.5329556,7,10
A\3782,3.2281387,5.422925,14,18
A\3783,2.8470902,6.8870687,7,10
A\3784,2.8253655,6.1193237,7,10
A\3785,2.532091,5.7349763,14,5
A\3786,1.8341305,4.3292823,10,7
A\3787,4.5230756,6.314968,7,18
A\3788,2.7333994,5.226775,14,13
A\3789,0.73825336,4.1145973,8,19
A\3790,1.3852906,5.0080156,8,0
A\3791,4.664353,6.9208903,14,18
A\3792,2.36752,5.6046677,14,13
A\3793,1.4325683,4.7128015,8,0
A\3794,0.85040516,5.1276245,8,5
A\3795,2.2644236,4.7540317,14,8
A\3796,2.0060325,4.69836,14,18
A\3797,2.467374,5.543356,7,10
A\3798,2.656988,5.436169,7,8
A\3799,2.282275,4.8489413,14,10
A\3800,3.0467615,7.502629,7,0
A\3801,2.2844565,4.7782626,14,10
A\3802,3.677141,7.2936883,7,8
A\3803,2.2882535,6.6682515,7,19
A\3804,4.012982,5.7849545,7,18
A\3805,3.887047,5.5877595,7,18
A\3806,2.5566583,7.3283277,14,18
A\3807,2.805225,5.0650268,14,18
A\3808,5.3989744,6.7591786,14,10
A\3809,3.873055,6.1907225,7,18
A\3810,2.8320725,5.9328856,14,10
A\3811,2.2837121,4.6930075,14,10
A\3812,1.0644333,4.068984,10,16
A\3813,2.6609535,4.5000596,14,8
A\3814,1.9522185,4.5970497,10,0
A\3815,2.2993233,4.6996846,14,8
A\3816,2.84468,4.5770674,14,18
A\3817,2.3729787,6.692298,7,0
A\3818,2.7593749,4.6500907,14,16
A\3819,1.5586208,6.1139545,8,7
A\3820,2.8386905,5.946918,14,8
A\3821,3.613507,7.548426,7,5
A\3822,2.1757839,5.79796,14,8
A\3823,4.0120573,7.363179,7,8
A\3824,2.154187,4.3826146,10,8
A\3825,2.1445568,4.4864407,14,7
A\3826,1.7232224,4.3438416,10,18
A\3827,4.9203944,2.3620043,11,15
A\3828,1.5569314,6.0915318,8,19
A\3829,2.492597,5.4043245,14,8
A\3830,0.94876426,4.63665,8,7
A\3831,2.7130795,5.9038653,14,17
A\3832,3.4288661,5.3502645,14,17
A\3833,1.8712136,6.2926383,14,18
A\3834,1.1521853,6.2899256,14,19
A\3835,0.7122815,4.1184044,8,13
A\3836,1.7666634,4.078064,10,13
A\3837,1.7526127,4.06518,10,7
A\3838,1.7533764,5.45873,8,19
A\3839,1.8010972,4.1373243,10,13
A\3840,0.97697747,6.191136,8,18
A\3841,2.5832767,5.5267596,7,0
A\3842,2.2547421,4.452837,10,13
A\3843,1.7804071,4.8404956,8,7
A\3844,2.1206846,5.3450274,10,13
A\3845,2.882859,6.070471,14,18
A\3846,1.817361,5.5334706,7,13
A\3847,2.3034785,5.3725104,14,18
A\3848,2.1629276,5.4942465,10,13
A\3849,2.2953,5.378682,14,18
A\3850,4.874026,2.345785,8,19
A\3851,2.0510771,5.676739,14,0
A\3852,3.1273625,5.975511,14,7
A\3853,1.8957975,4.505179,10,0
A\3854,1.5752738,4.71125,14,0
A\3855,1.7378902,4.769883,14,16
A\3856,1.7022285,4.1025214,10,13
A\3857,2.450915,5.3022413,14,10
A\3858,3.2734745,6.242636,7,18
A\3859,2.8816066,6.0307064,14,0
A\3860,3.4682822,6.7714314,14,0
A\3861,2.48207,5.7589974,14,0
A\3862,3.0640779,6.673082,7,18
A\3863,3.2592158,6.2520437,7,13
A\3864,1.1266518,4.519906,14,7
A\3865,1.541263,4.2661114,8,7
A\3866,0.8457142,4.4177504,8,17
A\3867,2.9344177,6.0246463,14,16
A\3868,3.172558,6.2745457,7,10
A\3869,4.065648,6.5634375,7,13
A\3870,2.8931167,6.234587,14,18
A\3871,1.8192357,4.8178086,14,0
A\3872,2.809829,6.634344,7,10
A\3873,1.4582837,4.3390036,8,17
A\3874,2.5886087,4.156898,14,10
A\3875,1.6536754,4.6559176,14,0
A\3876,1.224938,4.847364,8,17
A\3877,1.4725437,5.625639,8,13
A\3879,1.5442533,3.875549,8,13
B\2243,8.397866,6.6801534,19,4
B\2261,10.606605,5.7214565,15,1
B\2275,3.389294,4.8845897,14,9
B\2276,10.09492,5.5465555,3,16
B\2282,12.407196,5.1926985,10,18
B\2285,6.3036585,3.409182,17,6
B\2288,3.8845704,5.6789722,2,16
B\2338,5.0775537,2.8140774,17,15
B\2354,5.428975,3.2984126,17,6
B\2370,5.0060835,2.8638742,17,6
B\2434,9.116278,5.834205,15,1
B\2445,11.512879,6.052149,15,1
B\2461,12.124508,5.0644336,15,1
B\2465,9.465557,2.6656408,11,3
B\2477,10.820229,5.199048,4,2
B\2499,10.767367,2.3955429,18,3
B\258,4.402615,10.361528,10,16
B\259,4.33912,10.331531,10,16
B\2607,11.218612,3.084967,18,12
B\2637,11.205112,6.620148,15,14
B\270,4.3170166,10.299632,10,17
B\2732,11.257743,3.939238,4,3
B\2765,9.333656,6.974164,2,9
B\2766,9.472317,3.6321297,13,4
B\2771,10.097727,3.778967,13,14
B\2773,8.856533,5.402704,6,3
B\2775,10.260513,6.6327944,19,9
B\2793,7.2573943,6.761398,6,4
B\2798,11.478147,4.821602,16,8
B\2799,10.452944,3.230105,13,1
B\2800,9.555673,6.372981,19,12
B\2804,10.03796,5.82664,3,1
B\2806,11.777889,4.334223,16,1
B\2819,7.6214256,7.297587,2,5
B\2825,8.092702,6.9145665,9,2
B\2826,8.7067585,5.4874363,6,12
B\2840,10.537822,5.6349607,4,14
B\2842,9.474776,5.9767165,19,3
B\2847,11.022891,4.4629893,4,1
B\2854,11.226162,3.908148,4,1
B\2864,11.798354,4.342274,16,16
B\2865,9.24054,2.6777394,11,14
B\2872,10.335618,4.41731,4,14
B\2903,10.569612,7.17443,15,2
B\2908,9.762094,6.5943065,1,9
B\2947,10.410965,2.366594,18,3
B\2959,9.977526,4.428481,13,12
B\2988,12.206954,5.934268,3,1
B\3019,12.348069,3.820179,3,14
B\3140,11.103895,2.6767004,17,11
B\3143,2.9670498,4.94935,14,6
