base_name,x,y,obverse_group
3715,0.42376947,4.435005,5
3716,2.014462,-1.166304,17
3717,2.471535,-1.1863271,29
3718,0.93282753,5.510032,2
3719,1.0799952,5.6942835,2
3724,2.278921,1.8989643,1
3725,3.8605576,-2.2090662,13
3726,4.2707143,-2.3878539,6
3727,3.3970995,-1.3945419,6
3728,2.1529577,-1.9175496,20
3729,2.8419607,-2.0899327,25
3730,1.958257,-1.0773124,20
3731,4.8487525,-1.6685303,21
3732,2.6574368,-1.010801,29
3733,3.0581276,-1.2096022,10
3743,4.4984403,2.521481,23
3744,3.9088337,3.2839036,23
3745,4.621159,-2.1808848,13
3746,4.7099104,2.7603974,11
3748,4.299431,2.9681895,23
3749,2.6220343,3.2795506,28
3750,0.88802475,4.3068757,5
3755,3.1871636,1.7166563,19
3756,3.3322058,1.600367,15
3757,3.6634028,3.5177534,23
3758,4.0895534,3.4584634,23
3759,3.5186894,-0.7701301,10
3760,3.3555021,-0.5025587,29
3761,3.9591799,-1.6283414,6
3762,2.532922,-1.7495189,17
3763,4.2841964,-1.2108995,4
3764,1.7953073,3.5516214,18
3765,4.709346,2.8093429,1
3766,4.541207,3.1140013,23
3767,2.4046524,2.7635138,1
3768,4.2681055,2.1460507,14
3769,2.4235163,2.2880256,15
3770,3.2342103,2.4660912,3
3771,3.6080446,3.123482,14
3772,3.3126705,1.6723312,3
3773,0.4696677,4.4082985,5
3774,3.2576213,-2.0893013,20
3775,2.9358907,3.049438,28
3776,3.00462,3.2194273,28
3777,1.4813331,4.331348,12
3778,3.748918,1.6298605,19
3779,1.4798512,5.270352,2
3780,3.0898972,1.5074509,15
3784,1.7658557,3.5525734,18
3785,2.7088149,3.1373239,28
3786,2.6292253,2.694412,23
3787,3.7612245,1.7000675,19
3788,3.0370057,2.840141,28
3789,4.078735,2.6808648,11
3790,4.0497494,2.9094827,11
3791,3.6980865,2.5476265,14
3792,4.035873,2.9736302,11
3793,2.912045,3.7219744,28
3794,0.33155745,4.2017856,6
3795,4.702565,2.5162735,23
3796,3.863172,2.3717504,14
3797,2.797604,2.9251266,28
3798,4.146593,2.440405,14
3799,3.0463674,1.7958039,24
3800,3.0463128,2.6769295,28
3801,3.0222402,1.6225818,15
3802,2.5424325,1.4584961,16
3803,0.87422544,4.5863466,5
3804,3.4546568,2.667953,28
3805,3.7670603,2.0054233,19
3806,3.5031857,1.7663946,19
3807,1.3850645,5.7593656,2
3808,2.5550573,2.4057322,3
3809,3.7532237,2.435662,3
3810,2.698451,2.2448606,3
3811,3.839648,3.245429,23
3812,2.6912239,0.9939704,16
3813,3.0435305,2.2044733,14
3814,2.9630141,1.4096493,15
3815,4.223476,3.3873498,23
3816,3.8589196,3.4150064,23
3817,2.9908638,-0.15270275,10
3818,4.40603,3.0572505,11
3835,5.2070055,1.1317965,7
3836,4.932952,1.2023456,9
3837,5.029682,1.378816,7
3838,4.0596333,1.5161427,19
3839,5.055426,1.622206,7
3840,3.613206,1.3820871,19
3841,4.7148046,1.957979,9
3842,3.8850746,0.952217,27
3853,4.4511485,1.4553441,9
3854,4.419591,1.7312998,9
3855,5.08076,1.6784387,7
3856,4.8142476,1.5573198,9
3857,5.272019,1.2196716,7
3858,2.575971,1.8496726,8
3859,3.094444,3.7709303,15
3860,4.8720584,1.2437373,9
3861,5.29696,1.1557007,7
