base_name,x,y,obverse_group
3580,8.052975,-0.04073196,11
3582,4.992985,5.0958366,23
3583,8.8955145,5.0095034,24
3584,10.479453,3.4663422,9
3585,3.9488943,6.1704993,12
3586,4.7517395,5.1975517,10
3587,9.290141,5.60295,28
3588,3.9313931,6.275095,12
3589,11.554929,5.4568763,5
3590,8.171226,-0.18898758,15
3591,8.007282,-0.10867267,17
3592,8.393678,4.1103067,18
3593,8.8673935,5.248436,9
3595,10.408129,3.907074,9
3596,9.552165,3.0772107,2
3597,10.19978,3.638165,9
3598,11.346193,3.768219,19
3599,10.492818,4.775635,1
3600,8.350683,0.8918843,23
3601,10.143167,5.291668,1
3602,4.9122252,4.8273206,17
3603,11.221916,4.759765,1
3604,9.008877,4.1543274,24
3605,9.730617,2.58023,2
3606,3.9025707,6.404225,4
3607,5.1523046,5.167699,23
3608,5.0346713,5.0907664,23
3609,9.750795,3.5076952,24
3610,9.409871,5.6714344,28
3611,10.857092,4.2416997,19
3612,9.529961,3.0182247,2
3613,8.135613,0.6842814,23
3614,10.70021,4.8065596,1
3615,4.911774,5.0120378,17
3616,10.156816,4.534361,24
3617,9.552885,5.2768283,28
3618,8.225957,-0.37789288,15
3619,11.334257,5.0372143,19
3620,9.542727,3.6653874,24
3621,9.145639,5.2800016,28
3622,7.7908316,2.5393267,0
3623,10.51386,4.6223474,1
3624,9.909295,5.8249617,28
3626,10.900663,4.982598,5
3627,7.9045234,0.66908205,23
3628,8.084781,-0.159694,17
3629,8.172453,0.032517694,11
3630,8.533449,-0.21575315,15
3631,8.540553,-0.46581194,11
3632,8.343234,-0.40980724,15
3633,7.4480247,1.0101945,23
3634,7.6638565,0.6064726,23
3635,7.4530787,0.76480544,15
3636,7.66112,0.63857776,23
3637,7.6525016,0.63387954,23
3639,9.101119,4.525052,24
3640,7.944232,0.263145,23
3641,8.516781,-0.38781053,15
3642,8.506638,-0.40142533,15
3643,8.517974,-0.5158133,15
3644,10.157061,5.286147,22
3645,8.394526,0.93323076,23
3646,8.195848,-0.35279733,15
3647,8.319858,-0.4087633,15
3648,8.320139,-0.4647926,15
3649,7.889021,0.58346874,23
3651,9.594866,5.429964,24
3652,7.862034,0.30601084,23
3653,7.791076,-0.07842733,17
3654,9.506702,3.217365,2
3655,10.731742,5.2570124,1
3656,8.214879,4.8270407,18
3657,9.250062,4.6504292,18
3658,9.510262,4.959679,24
3659,9.296106,3.8789082,24
3660,9.437087,3.6963904,24
3661,11.808346,4.7608914,5
3662,10.172706,3.129011,2
3663,9.492891,3.3753943,18
3664,9.56519,4.0082564,24
3665,11.127808,5.478319,1
3666,11.819906,4.5188403,5
3667,11.752563,4.1695337,19
3668,11.865949,4.704226,5
3669,7.610047,0.5671223,23
3670,10.095322,6.005036,28
3672,9.884165,2.7198498,2
3673,10.228129,3.6946652,9
3674,8.220005,4.9110126,18
3675,11.383312,4.9450426,19
3676,11.205401,4.883951,5
3677,9.926572,3.241189,2
3678,9.991474,6.133763,28
3679,8.233873,0.66523904,23
3680,9.865566,2.8432155,18
3681,11.576829,4.6189656,19
3682,6.235328,4.4178576,20
3683,11.871814,4.787781,5
3684,10.042924,3.1010594,2
3685,10.22476,5.4603777,28
3686,4.073417,6.644541,4
3687,11.182146,4.063496,19
3688,8.67952,3.218706,9
3689,9.780154,6.0111537,28
3690,9.64471,5.9353414,28
3691,11.050757,5.5267053,5
3692,10.547173,3.5664423,9
3693,8.04572,4.612038,6
3694,10.576903,4.120451,21
3695,10.824366,5.345314,1
3696,10.623853,4.8554654,1
3697,10.529083,3.4724004,9
3698,10.235464,5.9838095,24
3699,9.620595,5.250175,28
3700,9.448726,5.999196,28
3701,11.303467,5.646851,5
3702,10.376453,5.695963,28
3703,9.781753,2.8347683,2
3704,10.3824835,4.8536406,1
3705,10.325208,5.1424966,14
3706,9.710816,3.0191543,18
